ID,CGPA
2020B1A42122G,5.68
2020A7PS1370G,8.68
2020A7PS1373G,7.81
2020A7PS1392G,7.66
2020A7PS1430G,9.83
2020B3A71462G,7.33
2020B3A71464G,7.2
2020B3A71470G,7.06
2020A7PS0962G,7.43
2020A7PS0965G,7.45
2020A7PS0971G,8.9
2020B3A71085G,7.93
2020B3A71102G,6.46
2020B3A71141G,6.81
2020B3A71142G,7.86
2020B5A71157G,7.13
2020B3A71159G,7.47
2020B4PS1179G,5.94
2020B3A71515G,7.71
2020B4A71203G,7.25
2020A7PS1228G,8.15
2020B3A71260G,7.21
2020B3A71262G,7.58
2020B4A71263G,7.54
2020A7PS1686G,8.04
2020A7PS1691G,8.81
2020A7PS1699G,7.09
2020A7PS1700G,7.09
2020A7PS1701G,7.48
2020A7PS1703G,7.65
2020A7PS1705G,7.41
2020A7PS1710G,7.56
2020A7PS1711G,7.97
2020A7PS1715G,7.63
2020A7PS1716G,7.91
2020A7PS1717G,7.2
2020A7PS1718G,7.65
2020A7PS1725G,8.94
2020A7PS1727G,7.91
2020A7PS1728G,8.25
2020A7PS1733G,8.49
2020A7PS1736G,8.9
2020A3PS1764G,9.36
2020B3A71784G,7.89
2020B3A71794G,8.9
2020A3PS1832G,8.2
2020B5A71839G,8.4
2020B3A71857G,8.91
2020B5A71896G,7.98
2020B1A71960G,7.74
2020B1A71982G,8.7
2020A7PS0001G,9.85
2020A7PS0106G,7.44
2020A7PS0131G,7.79
2020A7PS0146G,6.92
2020A7PS0152G,8.39
2020B1A72102G,8
2020A3PS0519G,8.32
2020B3A70568G,8.83
2020B3A70659G,7.49
2020AAPS1036G,4.79
2021A7PS2628G,8.72
2021A7PS2630G,9.27
2021A7PS2632G,7.74
2021A7PS2664G,9.08
2021A7PS2670G,7.23
2021AAPS1291G,8.87
2021A7PS1294G,9.24
2021A7PS0001G,7.81
2021A7PS0004G,6.84
2021A7PS0007G,7.51
2021A7PS0011G,6.41
2021A7PS0012G,6.83
2021A7PS1465G,7.16
2021A7PS2728G,8.02
2021A7PS2048G,9.4
2021A7PS2054G,9.16
2021A7PS2720G,8.36
2021A7PS2062G,8.17
2021A7PS2093G,8.18
2021A7PS2738G,7.4
2021A7PS2740G,8.35
2021A7PS0533G,6.63
2021A7PS1758G,7.98
2021A4PS2826G,7.15
2021A7PS2836G,8.15
2021A7PS2841G,8.35
2021A4PS2886G,7.6
2021AAPS1159G,9.7
2021B5PS1177G,8.37
2021A8PS2914G,8.41
2021B4A72431G,7.71
2021A7PS2471G,7.54
2021AAPS2499G,9.32
2021A7PS2525G,7.55
2021A7PS2553G,8.36
2021AAPS2556G,5.71
2021A7PS2595G,7.31
2021A7PS2596G,9.82
2021A7PS2602G,8.35
2021A7PS2607G,8.1
2021A7PS2619G,9.4
2021A7PS3041G,8.36
2021A7PS3055G,8.6
2022H1030050G,8.5
2023H1030034G,0
2023H1030060G,0
