Email,Assignment3 %
20212826,49.5
20212062,85.94
20212553,4.33
20201784,0
20230034,9.84
20201703,0
20212595,0
20212556,7.27
20201727,0
20212886,0
20201142,0
20200659,31.09
20201839,0
20201857,32.52
20212499,22.03
20200106,9.39
20231002,0
20200971,11.12
20210007,0
20201728,43.14
20201710,25.58
20212607,0
20212471,0
20201373,24.36
20211758,17.78
20211177,0
20201515,38.2
20200131,35.94
20200152,0
20212720,0
20201736,12.62
20211465,34.69
20212628,8.24
20213055,40.02
20200568,10.41
20212632,0
20210011,9.65
20201462,0
20210001,0
20210012,0
20210004,24.83
20212841,59.84
20210533,47.3
20212738,0
20201464,23.16
20201228,23.16
20201717,0
20211159,14.96
20213041,0
20201691,5.8
20212630,44.44
20212048,35.45
20201733,0
20200962,51.88
20201159,14.98
20201686,21.02
20212054,27.56
20201725,21.46
20201392,33.33
20212525,0
20201715,28.28
20201718,0
20201699,0
20212740,43.48
20201700,0
20201711,11.62
20201260,9.04
20201263,0
20201716,0
20201141,9.44
20201262,41.67
20211291,0
20200146,0
20201832,3.7
20201701,9.54
20201085,11.71
20211294,12.6
20200001,0
20201203,12.97
20201157,0
20201370,0
20212093,15.35
20212836,0
20201179,0
20212664,0
20201960,64.92
20201470,51.12
20202122,0
20212602,41.47
20201764,0
20201430,0
20212728,48.14
20200519,0
20212619,30.64
20201794,0
20212431,0
20212914,34.33
20201705,8.99
20201982,0
20212596,0
20201896,0
20201036,12.81
20220050,0
20202102,0
20200965,58.28
20230060,57.94
